id,brisId,name,postPosition,programNumber,distance,surfaceLabel,trackConditionLabel,odds,oddsRank,scratched,finishPosition,age,yob,sex,equipment,medication,weight,jockey,trainer,owner,sire,dam,priorRunningStyle,speedPoints,averagePaceE1,averagePaceE2,averagePaceLP,averageSpeedLast3,bestSpeedAtDistance,daysOff,averageClass,lastClass,primePower,horseLtTrackStartCount,horseLtTrackWinCount,horseLtTrackPlacesCount,horseLtTrackShowsCount,horseLtTrackQHStartCount,horseLtTrackQHWinCount,horseLtTrackQHPlacesCount,horseLtTrackQHShowsCount,horseLtMudsloppyStartCount,horseLtMudsloppyWinCount,horseLtMudsloppyPlacesCount,horseLtMudsloppyShowsCount,raceDate,track,raceNumber,lastUpdated
12655,4755762,Showmance,6,6,6,Dirt,Fast,,12,1,,3,2023,Gelding,,,122,"Beato, Inoel","Houghton, T. Bernard",WMT Stable,Hoppertunity,Beaches N Bourbon,S,0,83.0,72.0,73.0,52.0,62.0,40,104.6,107.1,97.8,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12662,4742874,Quick to Judge,13,13,6,Dirt,Fast,,13,1,,3,2023,Colt,,M,117,"Rivera, Kendry","St. Lewis, Uriah","Trin-Brook Stables, Inc.",Practical Joke,Hollow Rock,NA,1,82.0,69.0,57.0,45.0,40.0,71,106.4,107.7,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12663,4735134,Elusive Reward,14,14,6,Dirt,Fast,,14,1,,3,2023,Gelding,,M,122,"Hernandez, Andy","Hawthorne, Bobbi Anne",A.J. Hawthorne,Warrior's Reward,Go Metro Girl,NA,2,85.0,72.0,49.0,44.0,55.0,14,104.7,106.9,97.7,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12664,4727843,Global Winner,15,15,6,Dirt,Fast,,15,1,,3,2023,Colt,,M,117,"Rodriguez, Yan","St. Lewis, Uriah","Trin-Brook Stables, Inc.",Complexity,Karen's Gem,NA,0,67.0,52.0,64.0,34.0,34.0,71,106.6,107.1,91.6,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12658,4749085,Designed by Smarty,9,9,6,Dirt,Fast,3.0,2,0,1,3,2023,Gelding,B,M,122,"Chiappe, Ricardo","Kravets, Bruce M.",Shirley A. Lojeski,Smarty Jones,Made by Design,E,5,89.0,83.0,69.0,56.0,47.0,33,106.6,105.2,104.3,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12661,4746816,Petey Motto,12,12,6,Dirt,Fast,8/5,1,0,2,3,2023,Gelding,,M,122,"Pennington, Frankie","Coletti, Jr., Edward J.","Jolie Farm, Silver Crest Farms ET AL",Independence Hall,Sabinos Pride,E,4,90.0,81.0,65.0,60.0,60.0,16,109.1,109.7,110.8,0,0,0,0,0,0,0,0,1,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12654,4742669,Peach Smoothie,5,5,6,Dirt,Fast,9/2,3,0,3,3,2023,Gelding,,M,122,"Rodriguez, Angel R.","Kulp, Brandon L.",Warrior's Reward LLC,Weigelia,Peach Alley,E,7,87.0,75.0,66.0,48.0,0.0,37,105.7,103.7,102.1,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12659,4763393,Chubasco Sauce,10,10,6,Dirt,Fast,12.0,6,0,4,3,2023,Gelding,,,122,"Haddock, Dexter","Vega, Richard","Richard Vega Jr., Richard Vega Racing Stable Inc. and Luis R. Orantes",Hey Chub,Morholesinmypocket,E,6,90.0,82.0,50.0,50.0,52.0,44,106.1,105.5,99.8,0,0,0,0,0,0,0,0,1,0,0,1,2026-01-14,prx,6,2026-01-15 04:02:12
12651,4723178,Lucky Capo,2,2,6,Dirt,Fast,24.0,7,0,5,3,2023,Colt,,,113,"Hazlewood, Yedsit","Diaz, Jorge",James Aguilar-Juarez,Capo Kane,Lucky Lilly,E,7,87.0,73.0,68.0,44.0,51.0,14,105.8,105.9,95.3,0,0,0,0,0,0,0,0,2,0,1,0,2026-01-14,prx,6,2026-01-15 04:02:12
12652,4728434,Spinemjohnny,3,3,6,Dirt,Fast,9.0,5,0,6,3,2023,Gelding,,L,122,"Hernandez, Julio A.","Simoff, Andrew L.",Andrew L. Simoff,Independence Hall,Classic Empiress,NA,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12650,4719382,Special Man,1,1,6,Dirt,Fast,88.0,10,0,7,3,2023,Gelding,,M,122,"Martinez, Francisco","Lake, Scott A.",Richard A. Malouf,Weigelia,Jillian Luicci,NA,3,73.0,52.0,55.0,13.0,16.0,14,101.4,100.1,78.7,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12653,4737391,Finance,4,4,6,Dirt,Fast,9/2,4,0,8,3,2023,Gelding,,M,122,"Sanchez, Mychel J.","Montoya, Marya K.",Marya K. Montoya,Central Banker,Courtly Lark,NA,4,0.0,0.0,0.0,35.0,35.0,16,105.0,105.0,96.7,0,0,0,0,0,0,0,0,1,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12657,4771925,Mr Cefolo,8,8,6,Dirt,Fast,59.0,9,0,9,3,2023,Colt,,M,122,"Rivera, Luis D.","Lake, Scott A.",Run Fast and Win Stables LLC,Hoppertunity,Robe,NA,0,64.0,61.0,67.0,43.0,43.0,24,101.7,102.7,89.2,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
12656,4740064,Whiskey Stones,7,7,6,Dirt,Fast,36.0,8,0,10,3,2023,Gelding,,M,115,"Torres, Bryan L.","Hawthorne, Bobbi Anne",A.J. Hawthorne,Bustin Stones,Cute Cognac,E,3,85.0,70.0,66.0,44.0,55.0,14,105.4,107.0,94.6,0,0,0,0,0,0,0,0,1,0,0,1,2026-01-14,prx,6,2026-01-15 04:02:12
12660,4733383,Penta Zero Miedo,11,11,6,Dirt,Fast,99.0,11,0,11,3,2023,Gelding,,,120,"Ocasio, Luis M.","Martinez, Alexander",Alexander J. Martinez,Silver State,Donna Getyourgun,NA,0,78.0,51.0,46.0,18.0,18.0,14,100.3,100.3,77.8,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-14,prx,6,2026-01-15 04:02:12
